age,comprehension,production,isnorming,birthorder,caregivereducation,race,sex,monolingual
18,150,109,TRUE,Second,Graduate,White,Female,TRUE
18,185,18,TRUE,First,Graduate,White,Male,TRUE
18,224,104,TRUE,Second,Some College,White,Male,TRUE
18,209,125,TRUE,First,College,White,Male,TRUE
18,283,129,TRUE,First,Some College,White,Female,TRUE
17,324,65,TRUE,Second,Some College,White,Male,TRUE
17,189,60,TRUE,First,Some College,White,Female,TRUE
17,143,32,TRUE,First,Some Secondary,White,Male,TRUE
17,297,39,TRUE,Second,Some College,Asian,Female,TRUE
17,73,13,TRUE,Fourth,Some Graduate,White,Male,TRUE
17,183,31,TRUE,First,College,White,Female,TRUE
17,169,61,TRUE,First,College,White,Male,TRUE
18,269,44,TRUE,Second,Secondary,White,Female,TRUE
18,236,92,TRUE,Third,Some College,White,Male,TRUE
18,90,22,TRUE,First,Some College,White,Female,TRUE
17,90,22,TRUE,Second,Secondary,White,Male,TRUE
18,128,35,TRUE,First,Graduate,White,Male,TRUE
17,287,79,TRUE,First,Graduate,White,Female,TRUE
17,327,18,TRUE,First,College,White,Male,TRUE
18,272,124,TRUE,Second,Graduate,White,Female,TRUE
18,238,118,TRUE,First,College,White,Female,TRUE
18,268,36,TRUE,Third,Graduate,White,Male,TRUE
17,208,145,TRUE,First,Some College,White,Male,TRUE
18,395,235,TRUE,First,Some College,White,Female,TRUE
17,261,174,TRUE,First,College,White,Male,TRUE
17,200,83,TRUE,Second,College,White,Male,TRUE
17,163,2,TRUE,First,Some College,White,Male,TRUE
18,276,149,TRUE,Second,Graduate,White,Female,TRUE
17,197,27,TRUE,First,College,White,Female,TRUE
17,269,73,TRUE,Second,Some College,White,Male,TRUE
17,275,110,TRUE,Second,Secondary,White,Male,TRUE
17,255,70,TRUE,First,Some College,White,Female,TRUE
18,124,23,TRUE,First,Some College,White,Male,TRUE
17,274,114,TRUE,First,College,White,Male,TRUE
17,144,23,TRUE,Second,Some College,White,Male,TRUE
17,279,103,TRUE,First,Secondary,White,Male,TRUE
18,363,165,TRUE,First,Graduate,White,Female,TRUE
17,275,79,TRUE,First,Secondary,White,Female,TRUE
17,278,164,TRUE,First,Some College,White,Male,TRUE
18,323,66,TRUE,Second,Secondary,White,Female,TRUE
17,279,46,TRUE,Second,Graduate,White,Female,TRUE
17,213,48,TRUE,Second,Secondary,White,Male,TRUE
18,210,36,TRUE,Second,College,White,Female,TRUE
18,261,49,TRUE,First,College,White,Male,TRUE
17,251,15,TRUE,Third,Secondary,White,Female,TRUE
18,231,19,TRUE,First,Secondary,White,Male,TRUE
17,142,23,TRUE,Second,College,White,Male,TRUE
17,230,9,TRUE,First,College,White,Male,TRUE
17,98,16,TRUE,First,Some College,White,Male,TRUE
18,290,67,TRUE,First,College,White,Male,TRUE
18,292,92,TRUE,First,College,Asian,Female,TRUE
18,241,35,TRUE,Second,College,White,Female,TRUE
17,297,45,TRUE,Second,Some College,White,Female,TRUE
18,68,12,TRUE,Third,Some College,White,Male,TRUE
18,190,46,TRUE,Third,College,White,Female,TRUE
17,127,45,TRUE,Third,College,White,Female,TRUE
17,207,20,TRUE,First,Some College,White,Male,TRUE
18,336,262,TRUE,First,Secondary,White,Female,TRUE
17,221,91,TRUE,Second,College,White,Female,TRUE
18,174,11,TRUE,Second,College,White,Male,TRUE
17,340,293,TRUE,Fourth,Secondary,Asian,Female,TRUE
18,129,7,TRUE,First,College,White,Female,TRUE
18,244,24,TRUE,Second,Graduate,White,Male,TRUE
18,278,151,TRUE,First,Some College,White,Female,TRUE
17,304,198,TRUE,First,College,White,Male,TRUE
18,161,40,TRUE,First,Some College,White,Male,TRUE
17,178,26,TRUE,First,Graduate,White,Female,TRUE
18,127,13,TRUE,First,Some College,White,Male,TRUE
18,326,126,TRUE,First,Some College,White,Female,TRUE
18,242,58,TRUE,First,College,White,Male,TRUE
18,244,24,TRUE,First,Graduate,White,Male,TRUE
17,64,6,TRUE,Third,Some College,White,Male,TRUE
17,205,51,TRUE,First,Some College,White,Female,TRUE
18,163,3,TRUE,Second,College,White,Male,TRUE
18,325,174,TRUE,First,College,White,Male,TRUE
18,259,17,TRUE,First,College,White,Male,TRUE
18,246,9,TRUE,Third,Graduate,White,Male,TRUE
18,197,61,TRUE,First,Secondary,White,Male,TRUE
18,177,7,TRUE,First,Graduate,White,Female,TRUE
18,223,4,TRUE,Second,Some College,White,Male,TRUE
18,285,158,TRUE,First,Secondary,White,Male,TRUE
18,140,17,TRUE,First,Secondary,White,Female,TRUE
17,228,68,TRUE,Third,Graduate,White,Male,TRUE
18,361,327,TRUE,Third,College,White,Female,TRUE
18,296,117,TRUE,Sixth,Secondary,White,Male,TRUE
18,225,20,TRUE,Fourth,Some College,White,Female,TRUE
18,97,21,TRUE,First,Secondary,White,Male,TRUE
18,314,28,TRUE,First,Graduate,White,Male,TRUE
18,328,71,TRUE,First,Secondary,White,Male,TRUE
18,373,40,TRUE,First,Graduate,White,Male,TRUE
18,287,106,TRUE,First,College,White,Female,TRUE
18,303,58,TRUE,First,Secondary,White,Male,TRUE
18,322,178,TRUE,First,College,White,Female,TRUE
18,252,18,TRUE,First,Graduate,White,Male,TRUE
18,315,190,TRUE,Second,Some College,White,Male,TRUE
